UNIQ_ID,PARENT,FCODE,USG_GROUP,USG_CODE,USG_SP_NAM,USG_SP_NM_,USG_PRIORI,BLDG_ID,CMPLX_ID,CMLX_FCD,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER
"54013660","0","223","20","5521",בית כנסת - חזון עבדיה,,"1","52469240","54451118","252",196506.72152699999,662532.05509399995,"2014",2015-07
"53965247","0","223","20","5521",בית כנסת - אור התורה,Or HaTora Synagogue,"1","52356713","0","0",186776.10792700000,659007.62699400005,"0",
"53966929","0","223","20","5521",בית כנסת,Synagogue,"1","52539628","0","0",186433.44382700001,642462.55069399998,"0",
"53966930","0","223","20","5521",בית כנסת - צעירי תימן,,"1","52534361","0","0",182439.70332700000,644789.68249399995,"0",
"53966931","0","223","20","5521",בית כנסת - אהל שרה,,"1","52399932","0","0",187842.45302700001,647993.61059399997,"0",
"53966945","0","223","20","5523",מסגד,Mosque,"1","51667109","0","0",221544.38122700001,635627.81769399997,"0",
"54013790","0","223","20","5521",בית כנסת - נווה ציון,,"1","52359038","0","0",182090.07002700001,651586.82729399996,"0",
"53966961","0","223","20","5523",מסגד - אטף אלחרושי,,"1","53183981","0","0",185636.81152700001,647919.81729399995,"0",
"54011742","0","223","20","5521",בית כנסת - פני דוד,,"1","52227501","0","0",191896.25582699999,664581.47621400002,"0",
"53959084","0","223","20","5521","בית כנסת - צא""י יד אהרון",,"1","52319373","0","0",185286.61212700000,665880.64229400002,"0",
"54011743","0","223","20","5521","בית כנסת - האדמו""ר מסדיגורא",,"1","52316655","0","0",180173.07062700001,666503.87769400002,"0",
"53959087","0","223","20","5521",בית כנסת - נתיב שמים,,"1","52280300","0","0",186374.30282700001,659055.64159400004,"0",
"53959091","0","223","20","5521",בית כנסת - אהבת אחים,,"1","53307893","0","0",181164.86752699999,667249.12299399998,"0",
"54011747","0","223","20","5521",בית כנסת - אהל יצחק,,"1","53094346","0","0",178922.63292700000,644467.70199400000,"0",
"54011708","0","223","20","5521",בית כנסת - סוכת שלום,Sukkat Shalom Synagogue,"1","52206702","0","0",178299.07662700000,659137.72269400000,"0",
"53958932","0","223","20","5521",בית כנסת - מעלה אפרים,,"1","53332112","0","0",238362.21862699999,664137.11299399997,"0",
"53959213","0","223","20","5501",מקווה - שעריה,,"1","52329763","0","0",190297.75322700001,664556.85509400000,"0",
"53965250","0","223","20","5521",בית כנסת - פאר יפית,,"1","52257716","0","0",177575.54942699999,658016.47279399994,"0",
"53965259","0","223","20","5521",בית כנסת,Synagogue,"1","52651444","0","0",220884.59172699999,632802.65419399994,"0",
"53965260","0","223","20","5521",בית כנסת - ישראל,Yisra'el Synagogue,"2","52416841","0","0",220539.67102700000,632672.39869399997,"0",
"53965269","0","223","20","5521",בית כנסת - משכן ישראל,Mishkan Yisra'el Synagogue,"1","52387938","0","0",195070.61672699999,662302.47469399997,"0",
"54013667","0","223","20","5521",בית כנסת - ויזניץ,,"2","52560462","0","0",183203.89372699999,644687.38629399997,"0",
"53965279","0","223","20","5521",בית כנסת - אוהבי אברהם,Ohave Avraham Synagogue,"1","52517699","0","0",221067.59162699999,650100.78439399996,"0",
"53965287","0","223","20","5521",בית כנסת - גאולי תימן,,"1","53330419","0","0",187675.66112700000,647910.86149399995,"0",
"53966964","0","223","20","5521",בית כנסת - בית יוסף,Bet Yosef  Synagogue,"1","52074998","0","0",184708.52182699999,673625.74219400005,"0",
"53966967","0","223","20","5521",בית כנסת - בית טל,Bet Tal Synagogue,"1","52300172","0","0",182180.93022700000,664727.73109400005,"0",
"53966982","0","223","20","5521","בית כנסת - הגילגל ע""ש יורם גב",,"1","52450238","0","0",228792.68132700000,633753.31649400003,"0",
"53966984","0","223","20","5521",בית כנסת,Synagogue,"1","52399929","0","0",177833.02222700001,629242.34399400000,"0",
"53966989","0","223","20","5521",בית כנסת,Synagogue,"1","52650493","0","0",220917.53622700000,632743.81829400000,"0",
"53966996","0","223","20","5501",מקווה,Mikve (Ritual Bath),"1","53362311","0","0",175428.61222700001,626460.80199399998,"0",
"54013219","0","223","20","5521",בית כנסת - מזמור לדוד,,"1","53314784","0","0",224720.51402700000,651205.91699399997,"0",
"53961303","0","223","20","5521",בית כנסת - תפארת יפת,,"1","65494420","0","0",190743.60992700001,664963.49109400006,"0",
"53961305","0","223","20","5521",בית כנסת,Synagogue,"1","52316631","0","0",194969.37972699999,667284.67959399999,"0",
"53961312","0","223","20","5521",בית כנסת - אליעזר,,"1","53293245","0","0",183828.86292700001,666023.57569400000,"0",
"53961319","0","223","20","5521",בית כנסת - תפארת בנימין,Tif'eret Binyamin Synagogue,"1","52240756","0","0",188458.76822699999,665358.05609400000,"0",
"53961322","0","223","20","5521",בית כנסת - שערי שמים,Sha'are Shamayim Synagogue,"1","64910449","0","0",194264.13432700001,667044.75659400003,"0",
"53959900","0","223","20","5521",בית כנסת - ארלוזורוב,,"1","52482135","0","0",182274.32792700001,664319.79059400002,"0",
"53959901","0","223","20","5521",בית כנסת - ארלוזורוב,,"1","52476445","0","0",182288.55182699999,664313.11779399996,"0",
"53959913","0","223","20","5521",בית כנסת - בן פורת יוסף,,"1","52506530","0","0",179849.61842700001,658531.21589400002,"0",
"53959915","0","223","20","5521",בית כנסת - כדורי מועלם,,"1","53081627","0","0",183559.42912700001,663712.10149399994,"0",
